type,name,desc,EP,BP,FP,DP,HP,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,outcome-0,outcome-1,outcome-2,outcome-3
BP,Approve a fish farm,Municipality has been approached by an offshore fish-farm. The farm will use modern methods to optimise fish yields. ,2,-1,0,0,0,Boosts the local economy,Creates local jobs along the fishery value chain,Makes high quality fish available for the local community,Increase in water pollution from farm by-products,Not popular with other water users,On-shore fish processing is smelly,"Water has been greatly contaminated by the operation of the farm. As a result, the natural marine life has been endangered by the release of pathogens and parasites",The fish farm attracts the local shark population resulting in  a surfer being attacked and wounded. ,"The fish farms are operational and working well, creating jobs and adding fish to the local palette. ","The fish farming has been a great success! Many more people can afford to have locally supplied fresh fish, saving air miles. The income from the farming has been put back into the local community in educating local fishermen on sustainable fishing practice"
BP,Approve a monofarm,Municipality has been approached by a commercial farm conglomerate to develop a super-farm on unused farmland. The farm will use modern methods to optimise crop production. ,3,-1,0,-1,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
BP,citizen MINKA,This is MINKA,0,2,0,0,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
BP,Create a biodiversity digital twin,Add a digital twin to do digital twin stuff,-1,3,0,0,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
BP,Create a biodiversity knowledge base,"This sounds like MINKA, but is part of the Sardinia farmer dashboard - although that's ET rather than BD",-1,2,0,0,0,"pos-1
",pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
BP,Protect local biodiversity,This sounds like MINKA,0,2,0,0,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
BP,protect local crops,This is the Sardinia durum wheat scheme. Should strengthen the local farming community and protect local crop types,2,2,0,0,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
DP,Approve a golf resort development,Municipality has been approached by a premier resort developer to build a golf course resort on unused land. ,5,-1,0,-1,0,Create local jobs,Stimulate the local economy,Create a high-class destination attraction,Course requires significant water resources,Manicured greens negatively impact biodiversity,Landscaping may lead to flood risks,out-1,out-2,out-3,out-4
DP,Approve reservoir construction ,Municipality has been approached by the local water company to build a large reservoir in a local valley.,-2,-1,2,3,0,Storing winter rains will reduce seasonal flooding,Dependable water for a generation,Will become a home for water birds,Flooding the valley will impact local environment,Cost of development,Time of construction,out-1,out-2,out-3,out-4
DP,Approve water delivery service,The municipality is looking to ship in bottled water to ameliorate problems with drinking water supply during drought conditions.,-2,0,0,2,0,Dependable supply of quality water,Cheaper than addressing current local supply issues,Popular brand of water,Pollution associated with transporting water,Impact on current local supply capabilities,Public relations issues," The water quality did not pass the needed checks, and none of the water can be used. ",Traffic in the town has become much worse due to transporting all the water. There are potholes everywhere and you have some very disgruntled locals.,"The effects of a hot and dry summer have been offset through the water. While not a perfect solution, it has had a positive effect.","Despite a very hot and dry summer, there’s more than enough water bringing in lots of tourists from other drier areas. "
DP,Create a drought dashboard,As per CS5. Municipality will install a platform to monitor climate data in order to better understand drought events.,-1,0,0,2,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
DP,Create a drought digital twin,"Municipality will install a climate / drought / land use modelling digital twin to evaluate the likelihood and impact of drought scenarios, allowing the town to better prepare for dry periods and long-term planning for drought resilience.",-1,0,0,3,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
DP,Install smart water meters,"The municipality is looking to install smart water meters,allowing customers to view consumption and highlight leaks within their houses.",2,0,0,2,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
DP,Smart irrigation programme,The municipality is looking to work with local market gardeners to install smart irrigation systems to reduce water consumptions by providing fertigation-on-demand.,2,0,1,2,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
FP,Approve construction of a sea wall,"The coast road community is plagued by coastal overtopping, causing disruption to the main coast road and flooding local shops and houses. A sea wall should reduce this almost yearly event.",2,0,2,0,0,Minimise flooding risk to the coast road community,Reduce post-flood clean-up costs,Increase investment into the area,"Disruption during building works
",May ruin the view of the bay,Only protects locally,"The project is a disaster! Residents of nearby cliff heights raise a long and costly legal objections as their district is being allowed to erode into the sea, resulting in the project being substaintially delayed. ",out-2,out-3,"Shortly after the project completes, there is a huge storm. Unlike previous storms, the coast road district doesn’t flood saving the council by not having to perform a large clean-up. "
FP,Approve out-of-town leisure resort,Municipality has been approached by a retail company to develop a large out-of-town retail and leisure park on unused land. ,4,-1,-1,0,0,Turn under-used countryside into revenue generating resource,Create local jobs,Bring people into the area for entertainment,Financial impact on current facilities,Impact on current transport network,Enviromental impact,"The complex is a titanic success, so much so that there’s gridlock in and around the town as everybody wants to go there making it impossible to travel anywhere.","The complex is a success, but heavy rains frequently flood the huge car parks ",The complex is a success with tenants that complement rather than compete with the town centre attractions. ,"The complex is a real success and careful transport planning has enabled people from all over the region to attend films, gigs, and shows without causing chaos. "
FP,Approve nature-based flood protection,Municipality has been approached by a university to host a beaver land management project to help control the river and reduce flooding ,1,-1,2,0,0,Nature-based solution to manage water and control flooding,Positions council as being open-minded to new solutions in difficult times,Low-cost,Unproven academic and potentially crackpot idea,Impact of beavers on local ecosystem,Difficutlt to unroll if people get attached to beavers,The research is a disaster! The beavers have moved to the local arboretum and destroyed most of the rare saplings. The university abandoned the research as unworkable.,The beaver area suffers from a heavy rainstorm  resulting in beaver damn bursts and flooding in the downstream ,"The beaver experiment is working well, and the university is working to increase size of the project, protecting more land. ","The beaver experiment is working well, with fewer floods. The beavers have been a local point of interest , drawing in beaver tourists and the sale of beaver plushies is through the roof. "
FP,Return seaside golf course to sea,The municipality will stop flood protecting the old sea-side golf course and return it to nature. This will free up finance for other uses. Returning the course to nature will promote biodiversity as it becomes a wetland.,1,2,0,0,0,Spend limited budgets where they can have the biggest impact,Creation of a wildlife wetland,Reduce motor traffic by the seaside,"Seen as abandoning parts of the town to nature
",Anger from golfers,Course will be an eyesore whilst wetland is established,"As the golf course returns to nature, the town is hit by a ‘once in a generation’ storm with extreme tides that rush over the course and undermine the mainline rail track, causing it to be out of use for six months.",Local golfers protest the decision by playing ‘urban golf’ in the town centre.  ,"As the course returns to wetland, it becomes a popular destination for firstly, birds and then bird watchers.","Hearing the news,  a former champion golfer buys the old typewriter factory and rejuvenates it into a high-quality course that keen golfers flock to, boosting tourism substantially. "
FP,Create a flood support website,As per CS6. Municipality will install a platform to support citizens with support and guidance for flooding.,-1,0,2,0,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
FP,Create a flooding digital twin,"As per CS6, CS8. Municipality will install a flood modelling digital twin to evaluate the likelihood and impact of potential flooding events, allowing the town to better prepare for flooding and long-term planning for flood resillience.",-1,0,3,0,0,pos-1,pos-2,pos-3,neg-1,neg-2,neg-3,out-1,out-2,out-3,out-4
FP,Engage in flood plain management,"Municipality has been approached to develop flood plain management for the local river, removing existing developments and allowing land to flood and store flood water. ",-1,1,2,0,0,Reduces flooding to the downstream neighbourhoods,Increased biodiversity,Creation of new recreational activities,"Disruption during flooding
",Loss of land to farmers,Flooding,"The project is a disaster! There was a major flood event, and a much larger area of land was flooded. Many farmer's land has been destroyed and polluted waters flow through the town. ",,, The project was a success. A rare species of butterfly has been seen in the area and bird species have increased. The downstream town also did not suffer flooding in the last heavy rainfall event
HP,Approve installation of cool roofs,"Plans have been submitted to paint roofs with white paint to reflect sunlight on hot days,reducing the overall temperature in buildings andsurrounding environment.",0,0,0,0,3,A nature-based solution to reduce urban heat during heatwaves.,Low-cost,Non-envasive,Counter-productive for roof-mounted solar panels,Heatwaves may not be hot enough or long enough for any real benefit.,Painting roofs is messy and time-consuming,out-1,out-2,out-3,out-4
